epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2253.96,0.68346,0.11181,0.80488,0.9941,0.99836,0.99481,0.92266,0.50329,0.07212,0.71186,0.0002239,0.0002239,0.0002239
80,2282.35,0.66561,0.10579,0.80226,0.98657,0.995,0.99304,0.92908,0.47867,0.07643,0.7101,0.00021395,0.00021395,0.00021395
81,2310.54,0.66496,0.10587,0.80029,0.99055,0.99878,0.99345,0.93191,0.4638,0.06957,0.71003,0.000204,0.000204,0.000204
82,2339.12,0.65763,0.10581,0.79946,0.99488,0.99867,0.99494,0.93749,0.43472,0.0616,0.70932,0.00019405,0.00019405,0.00019405
83,2367.26,0.65245,0.10299,0.79861,0.99389,0.99894,0.99498,0.94037,0.43159,0.06119,0.70789,0.0001841,0.0001841,0.0001841
84,2395.34,0.65085,0.10633,0.79938,0.99224,0.99938,0.99434,0.93893,0.43599,0.06377,0.70876,0.00017415,0.00017415,0.00017415
85,2423.49,0.65012,0.10671,0.79928,0.99435,0.99909,0.99418,0.94527,0.42125,0.06199,0.7076,0.0001642,0.0001642,0.0001642
86,2451.71,0.64648,0.10347,0.80024,0.99551,0.99827,0.995,0.94702,0.41815,0.0585,0.70707,0.00015425,0.00015425,0.00015425
87,2479.72,0.64099,0.10519,0.79895,0.99831,0.99898,0.995,0.94209,0.42095,0.05833,0.70655,0.0001443,0.0001443,0.0001443
88,2508.25,0.63441,0.10154,0.7992,0.99772,1,0.995,0.94579,0.41504,0.05738,0.70572,0.00013435,0.00013435,0.00013435
89,2536.47,0.63506,0.1028,0.79718,0.99598,1,0.99499,0.94689,0.41746,0.05662,0.70594,0.0001244,0.0001244,0.0001244
90,2564.45,0.62936,0.10034,0.79985,0.99643,1,0.99498,0.94353,0.42758,0.05806,0.70654,0.00011445,0.00011445,0.00011445
91,2592.68,0.51835,0.07845,0.78121,0.99804,0.99793,0.995,0.94606,0.40985,0.05582,0.70578,0.0001045,0.0001045,0.0001045
92,2619.47,0.49506,0.07362,0.77522,0.99859,1,0.995,0.95279,0.39246,0.05339,0.70485,9.455e-05,9.455e-05,9.455e-05
93,2646.8,0.48066,0.07117,0.77577,0.99899,0.9983,0.995,0.94695,0.39726,0.05374,0.7045,8.46e-05,8.46e-05,8.46e-05
94,2673.85,0.47743,0.07059,0.77648,0.9978,0.99473,0.99498,0.95049,0.38956,0.05568,0.70339,7.465e-05,7.465e-05,7.465e-05
95,2701.33,0.47724,0.07244,0.77841,0.99824,0.99773,0.99498,0.94786,0.41155,0.05721,0.70433,6.47e-05,6.47e-05,6.47e-05
96,2728.69,0.46802,0.0692,0.78089,0.99739,0.99852,0.995,0.94965,0.39997,0.05522,0.7039,5.475e-05,5.475e-05,5.475e-05
97,2755.86,0.46524,0.06956,0.77547,0.99866,0.99828,0.995,0.94468,0.4083,0.05693,0.70442,4.48e-05,4.48e-05,4.48e-05
98,2783.4,0.45422,0.06745,0.77684,0.99876,0.99771,0.99498,0.94495,0.40507,0.05578,0.70408,3.485e-05,3.485e-05,3.485e-05
99,2810.79,0.45486,0.06965,0.77429,0.99859,0.99832,0.995,0.94807,0.40299,0.05546,0.7035,2.49e-05,2.49e-05,2.49e-05
100,2838.09,0.45538,0.06909,0.77771,0.99843,0.99738,0.99498,0.94892,0.40192,0.05549,0.70341,1.495e-05,1.495e-05,1.495e-05
